country_code,region_code,country,region,year,min_percent_canopy_density,loss_ha,loss_percent,extent_ha,extent_percent,gain_ha,gain_percent
PER,11,Peru,Ica,2000,25,0,0,78,0.00369313810205845,0,0
PER,24,Peru,Tumbes,2012,25,146,0.109617839177115,133044,28.7751050052124,43.0833333333333,0.0323472733188177
PER,15,Peru,Lima,2000,30,0,0,16516,0.472053495585288,0,0
PER,9,Peru,Huancavelica,2000,30,0,0,84257,3.8210075828795,0,0
PER,24,Peru,Tumbes,2007,30,83,0.0629789817133318,131707,28.4859351411677,43.0833333333333,0.0326908971343299
PER,11,Peru,Ica,2000,50,0,0,32,0.00151513358033167,0,0
PER,2,Peru,Ancash,2000,15,0,0,106482,2.97016363765688,0,0
PER,10,Peru,Huánuco,2000,20,0,0,2292894,62.0261999094316,0,0
PER,24,Peru,Tumbes,2004,20,41,0.0298579199953393,137276,29.6904130565493,43.0833333333333,0.0313750907268097
PER,10,Peru,Huánuco,2000,25,0,0,2285351,61.8221505177385,0,0
PER,11,Peru,Ica,2012,25,0,0,78,0.00369313810205845,5.16666666666667,6.62393162393162
PER,6,Peru,Cajamarca,2000,30,0,0,1146075,34.8627740738927,0,0
PER,22,Peru,San Martín,2000,30,0,0,4665744,92.8741180107446,0,0
PER,25,Peru,Ucayali,2006,30,15604,0.152509422128664,10215895,97.6301322406852,3144.33333333333,0.0307318930816817
PER,6,Peru,Cajamarca,2000,50,0,0,918518,27.9406544220961,0,0
PER,23,Peru,Tacna,2000,20,0,0,191,0.011943837698879,0,0
PER,9,Peru,Huancavelica,2000,20,0,0,92306,4.18602520793851,0,0
PER,19,Peru,Pasco,2007,20,3209,0.189663823974949,1688732,70.7669395125316,675,0.039895008159268
PER,2,Peru,Ancash,2000,25,0,0,88643,2.47257015582746,0,0
PER,23,Peru,Tacna,2002,25,0,0,165,0.0103179749754714,0.166666666666667,0.101010101010101
PER,21,Peru,Puno,2000,30,0,0,1555562,23.1720126016165,0,0
PER,2,Peru,Ancash,2000,50,0,0,50180,1.39969958619882,0,0
PER,10,Peru,Huánuco,2000,50,0,0,2199887,59.5102219466577,0,0
PER,18,Peru,Moquegua,2000,75,0,0,77,0.00490132424869701,0,0
PER,25,Peru,Ucayali,2000,75,0,0,10200762,97.4855108647609,0,0
PER,14,Peru,Lambayeque,2000,15,0,0,100007,7.02070049050201,0,0
PER,23,Peru,Tacna,2000,25,0,0,165,0.0103179749754714,0,0
PER,5,Peru,Ayacucho,2000,50,0,0,346556,7.96724966475139,0,0
PER,8,Peru,Cusco,2000,50,0,0,3548594,49.2734425193343,0,0
PER,20,Peru,Piura,2000,50,0,0,374107,10.4725022877552,0,0
PER,23,Peru,Tacna,2001,50,0,0,65,0.00406465680851902,0.166666666666667,0.256410256410256
PER,15,Peru,Lima,2000,75,0,0,3186,0.0910609370873533,0,0
PER,11,Peru,Ica,2008,20,0,0,117,0.00553970715308768,5.16666666666667,4.41595441595442
PER,12,Peru,Junín,2000,15,0,0,2458748,55.420782421494,0,0
PER,2,Peru,Ancash,2001,15,113,0.106121222366222,106369,2.96701166369833,37.75,0.0354520012772112
PER,2,Peru,Ancash,2002,15,34,0.0319642000958926,106335,2.96606328215327,37.75,0.0354896633417631
PER,2,Peru,Ancash,2003,15,27,0.0253914515446466,106308,2.9653101556322,37.75,0.0355010109559411
PER,2,Peru,Ancash,2004,15,45,0.0423298340670505,106263,2.96405494476375,37.75,0.035510027467359
PER,2,Peru,Ancash,2005,15,63,0.059286863724909,106200,2.96229764954791,37.75,0.035525065168497
PER,2,Peru,Ancash,2006,15,32,0.0301318267419962,106168,2.96140505515257,37.75,0.0355461393596987
PER,2,Peru,Ancash,2007,15,28,0.0263732951548489,106140,2.96062403505664,37.75,0.0355568532891267
PER,2,Peru,Ancash,2008,15,31,0.0292067081213492,106109,2.95975933423616,37.75,0.0355662332768042
PER,2,Peru,Ancash,2009,15,57,0.0537183462288779,106052,2.95816940046945,37.75,0.0355766240375463
PER,2,Peru,Ancash,2010,15,54,0.0509184173801531,105998,2.95666314742731,37.75,0.0355957454833478
PER,2,Peru,Ancash,2011,15,35,0.0330194909337912,105963,2.9556868723074,37.75,0.0356138795071605
PER,2,Peru,Ancash,2012,15,56,0.0528486358445873,105907,2.95412483211555,37.75,0.0356256429130923
PER,3,Peru,Apurímac,2000,15,0,0,140094,6.64383668835372,0,0
PER,3,Peru,Apurímac,2001,15,104,0.0742358702014362,139990,6.63890457837336,35.4166666666667,0.0252806449003288
PER,3,Peru,Apurímac,2002,15,182,0.130009286377598,139808,6.63027338590773,35.4166666666667,0.0252994261494869
